date,ticker,headline,sentiment_score,source
2025-12-08,UNH,UNH expands into new markets,0.152,Reuters
2025-12-08,MA,MA releases innovative technology,-0.107,Financial Times
2025-12-08,HD,Analysts upgrade HD rating,-0.783,CNBC
2025-12-07,AMZN,Analysts upgrade AMZN rating,-0.021,CNBC
2025-12-07,JNJ,JNJ announces new product launch,0.361,CNBC
2025-12-06,META,META stock rallies on positive outlook,-0.111,Reuters
2025-12-06,V,Analysts upgrade V rating,-0.108,Bloomberg
2025-12-06,DIS,DIS announces new product launch,0.447,CNBC
2025-12-06,DIS,DIS expands into new markets,0.401,Bloomberg
2025-12-06,NVDA,NVDA CEO announces strategic partnership,-0.029,Bloomberg
2025-12-05,CRM,CRM CEO announces strategic partnership,-0.089,Wall Street Journal
2025-12-05,AAPL,AAPL announces new product launch,-0.512,CNBC
2025-12-04,JPM,JPM reports strong quarterly earnings,0.18,Bloomberg
2025-12-04,ADBE,ADBE announces new product launch,-0.041,Reuters
2025-12-04,BAC,BAC announces new product launch,0.831,Financial Times
2025-12-04,NVDA,NVDA stock drops on market concerns,0.354,Wall Street Journal
2025-12-03,V,Analysts upgrade V rating,0.558,Financial Times
2025-12-03,UNH,UNH beats analyst expectations,-0.274,Financial Times
2025-12-03,TSLA,TSLA faces regulatory challenges,0.254,Wall Street Journal
2025-12-02,HD,Analysts upgrade HD rating,0.119,Wall Street Journal
2025-12-02,AMZN,AMZN beats analyst expectations,-0.112,Bloomberg
2025-12-02,GOOGL,GOOGL CEO announces strategic partnership,-0.057,Reuters
2025-12-02,ADBE,Analysts upgrade ADBE rating,-0.704,Bloomberg
2025-12-01,AAPL,AAPL announces new product launch,0.582,Reuters
2025-12-01,JPM,JPM announces new product launch,-0.576,Reuters
2025-12-01,JNJ,JNJ announces new product launch,0.139,Financial Times
2025-11-30,V,V stock rallies on positive outlook,0.355,Bloomberg
2025-11-30,NFLX,NFLX stock drops on market concerns,0.6,Financial Times
2025-11-30,ADBE,ADBE stock rallies on positive outlook,0.762,Bloomberg
2025-11-29,UNH,UNH beats analyst expectations,0.361,Reuters
2025-11-29,AMZN,AMZN releases innovative technology,0.236,CNBC
2025-11-29,UNH,UNH releases innovative technology,0.723,Wall Street Journal
2025-11-29,MSFT,MSFT announces new product launch,-0.063,Reuters
2025-11-29,MA,MA CEO announces strategic partnership,-0.15,Reuters
2025-11-28,TSLA,TSLA beats analyst expectations,0.122,Financial Times
2025-11-28,HD,HD stock drops on market concerns,-0.227,Wall Street Journal
2025-11-28,META,META faces regulatory challenges,-0.206,Wall Street Journal
2025-11-27,GOOGL,GOOGL stock rallies on positive outlook,0.28,Financial Times
2025-11-27,AMZN,AMZN reports strong quarterly earnings,0.076,Financial Times
2025-11-27,AAPL,AAPL announces new product launch,-0.141,Bloomberg
2025-11-26,UNH,UNH stock rallies on positive outlook,0.133,Wall Street Journal
2025-11-26,TSLA,TSLA releases innovative technology,0.255,Reuters
2025-11-26,META,META releases innovative technology,-0.112,Reuters
2025-11-25,V,V stock rallies on positive outlook,0.322,CNBC
2025-11-25,UNH,Analysts upgrade UNH rating,0.054,Wall Street Journal
2025-11-25,NVDA,NVDA beats analyst expectations,0.402,CNBC
2025-11-25,TSLA,TSLA reports strong quarterly earnings,0.188,Financial Times
2025-11-25,NFLX,NFLX reports strong quarterly earnings,-0.656,CNBC
2025-11-24,MSFT,MSFT expands into new markets,0.342,Wall Street Journal
2025-11-24,DIS,Analysts upgrade DIS rating,0.35,Bloomberg
2025-11-23,DIS,DIS announces new product launch,-0.359,Bloomberg
2025-11-23,GOOGL,GOOGL expands into new markets,-0.066,Reuters
2025-11-22,MA,MA announces new product launch,-0.081,Financial Times
2025-11-22,JPM,JPM expands into new markets,-0.179,Financial Times
2025-11-22,MSFT,MSFT expands into new markets,-0.454,Reuters
2025-11-21,ADBE,ADBE expands into new markets,0.391,Financial Times
2025-11-21,JNJ,JNJ faces regulatory challenges,0.304,Bloomberg
2025-11-21,JNJ,JNJ beats analyst expectations,0.454,CNBC
2025-11-21,MA,MA stock drops on market concerns,0.042,CNBC
2025-11-21,HD,HD CEO announces strategic partnership,0.567,Reuters
2025-11-20,HD,HD expands into new markets,-0.492,Financial Times
2025-11-20,AMZN,AMZN announces new product launch,0.265,Financial Times
2025-11-19,DIS,DIS faces regulatory challenges,0.496,Bloomberg
2025-11-19,PG,PG announces new product launch,-0.269,Bloomberg
2025-11-19,PG,PG faces regulatory challenges,-0.072,Bloomberg
2025-11-18,NFLX,NFLX faces regulatory challenges,-0.437,Financial Times
2025-11-18,DIS,DIS reports strong quarterly earnings,0.407,Financial Times
2025-11-18,WMT,WMT announces new product launch,-0.251,Bloomberg
2025-11-18,V,V announces new product launch,0.101,Reuters
2025-11-18,NFLX,NFLX stock drops on market concerns,-0.08,CNBC
2025-11-17,CRM,CRM beats analyst expectations,-0.276,CNBC
2025-11-17,TSLA,TSLA faces regulatory challenges,-0.025,Financial Times
2025-11-17,BAC,BAC faces regulatory challenges,0.227,Reuters
2025-11-17,GOOGL,GOOGL releases innovative technology,0.139,CNBC
2025-11-16,AAPL,AAPL CEO announces strategic partnership,-0.424,Bloomberg
2025-11-16,V,V stock drops on market concerns,0.255,Wall Street Journal
2025-11-15,NFLX,NFLX reports strong quarterly earnings,0.236,Reuters
2025-11-15,GOOGL,GOOGL stock drops on market concerns,0.528,Financial Times
2025-11-15,MSFT,MSFT CEO announces strategic partnership,-0.345,Financial Times
2025-11-15,NFLX,NFLX stock drops on market concerns,0.52,Wall Street Journal
2025-11-15,NVDA,NVDA reports strong quarterly earnings,-0.219,CNBC
2025-11-14,MSFT,MSFT CEO announces strategic partnership,-0.473,Bloomberg
2025-11-14,JPM,JPM announces new product launch,0.337,CNBC
2025-11-14,NFLX,NFLX releases innovative technology,0.347,Financial Times
2025-11-14,NVDA,NVDA beats analyst expectations,0.45,Bloomberg
2025-11-13,UNH,UNH reports strong quarterly earnings,-0.225,Bloomberg
2025-11-13,JNJ,JNJ releases innovative technology,-0.215,Bloomberg
2025-11-13,V,V stock drops on market concerns,-0.122,Reuters
2025-11-12,MSFT,MSFT stock rallies on positive outlook,0.042,Bloomberg
2025-11-12,TSLA,TSLA stock rallies on positive outlook,0.437,CNBC
2025-11-12,WMT,WMT beats analyst expectations,-0.313,Bloomberg
2025-11-12,AAPL,AAPL beats analyst expectations,0.25,Wall Street Journal
2025-11-12,JNJ,JNJ faces regulatory challenges,0.213,Reuters
2025-11-11,PG,Analysts upgrade PG rating,-0.082,Wall Street Journal
2025-11-11,NFLX,NFLX CEO announces strategic partnership,0.407,Reuters
2025-11-11,AMZN,AMZN faces regulatory challenges,0.58,Bloomberg
2025-11-11,ADBE,ADBE faces regulatory challenges,0.543,Reuters
2025-11-10,CRM,CRM releases innovative technology,0.035,CNBC
2025-11-10,JNJ,JNJ releases innovative technology,0.297,Financial Times
2025-11-09,MA,MA expands into new markets,-0.008,Bloomberg
2025-11-09,V,V reports strong quarterly earnings,-0.023,Wall Street Journal
2025-11-08,DIS,Analysts upgrade DIS rating,0.003,Bloomberg
2025-11-08,PG,PG releases innovative technology,-0.329,Reuters
2025-11-07,CRM,CRM CEO announces strategic partnership,-0.371,Reuters
2025-11-07,WMT,Analysts upgrade WMT rating,-0.283,CNBC
2025-11-07,UNH,UNH CEO announces strategic partnership,0.274,Wall Street Journal
2025-11-07,WMT,Analysts upgrade WMT rating,0.439,Bloomberg
2025-11-06,UNH,UNH releases innovative technology,-0.533,Bloomberg
2025-11-06,CRM,CRM expands into new markets,-0.199,CNBC
2025-11-06,MA,Analysts upgrade MA rating,-0.521,Reuters
2025-11-05,WMT,WMT beats analyst expectations,0.037,Wall Street Journal
2025-11-05,ADBE,ADBE expands into new markets,0.135,CNBC
2025-11-05,HD,HD stock rallies on positive outlook,0.069,Wall Street Journal
2025-11-05,TSLA,Analysts upgrade TSLA rating,0.699,Wall Street Journal
2025-11-04,GOOGL,GOOGL faces regulatory challenges,-0.389,Financial Times
2025-11-04,CRM,CRM CEO announces strategic partnership,-0.475,Reuters
2025-11-04,JPM,JPM faces regulatory challenges,-0.235,Bloomberg
2025-11-03,NVDA,NVDA reports strong quarterly earnings,-0.059,Reuters
2025-11-03,JPM,JPM stock rallies on positive outlook,0.652,Financial Times
2025-11-03,GOOGL,GOOGL stock rallies on positive outlook,0.326,Wall Street Journal
2025-11-02,MA,MA stock rallies on positive outlook,0.043,Wall Street Journal
2025-11-02,JPM,JPM stock drops on market concerns,0.534,Reuters
2025-11-02,AMZN,AMZN releases innovative technology,0.041,Bloomberg
2025-11-01,DIS,DIS stock rallies on positive outlook,-0.087,Reuters
2025-11-01,NFLX,NFLX beats analyst expectations,0.162,Reuters
2025-11-01,HD,HD stock drops on market concerns,-0.386,Wall Street Journal
2025-10-31,HD,HD expands into new markets,-0.264,Financial Times
2025-10-31,UNH,Analysts upgrade UNH rating,0.736,Wall Street Journal
2025-10-31,META,META stock rallies on positive outlook,0.294,Wall Street Journal
2025-10-31,V,V beats analyst expectations,0.377,CNBC
2025-10-30,JPM,JPM faces regulatory challenges,-0.061,Wall Street Journal
2025-10-30,GOOGL,GOOGL faces regulatory challenges,0.03,Bloomberg
2025-10-30,V,V CEO announces strategic partnership,0.67,CNBC
2025-10-30,NFLX,NFLX announces new product launch,-0.26,Bloomberg
2025-10-30,NVDA,NVDA beats analyst expectations,0.197,Wall Street Journal
2025-10-29,TSLA,TSLA announces new product launch,0.525,Wall Street Journal
2025-10-29,UNH,UNH CEO announces strategic partnership,-0.294,Financial Times
2025-10-29,HD,HD releases innovative technology,-0.222,Reuters
2025-10-28,UNH,UNH releases innovative technology,-0.188,Financial Times
2025-10-28,AAPL,AAPL expands into new markets,0.085,Wall Street Journal
2025-10-28,BAC,BAC reports strong quarterly earnings,0.041,CNBC
2025-10-27,MA,MA releases innovative technology,-0.166,Financial Times
2025-10-27,NFLX,NFLX expands into new markets,0.186,Bloomberg
2025-10-27,BAC,BAC beats analyst expectations,-0.05,CNBC
2025-10-27,UNH,UNH stock rallies on positive outlook,-0.022,Reuters
2025-10-26,JNJ,JNJ releases innovative technology,0.55,Bloomberg
2025-10-26,HD,HD stock drops on market concerns,0.159,Financial Times
2025-10-26,NFLX,NFLX reports strong quarterly earnings,0.316,Wall Street Journal
2025-10-26,ADBE,ADBE expands into new markets,0.17,Reuters
2025-10-26,GOOGL,GOOGL releases innovative technology,-0.164,Bloomberg
2025-10-25,META,META reports strong quarterly earnings,0.088,CNBC
2025-10-25,MA,MA CEO announces strategic partnership,-0.192,Bloomberg
2025-10-25,HD,HD CEO announces strategic partnership,0.112,CNBC
2025-10-25,MA,MA faces regulatory challenges,0.508,Wall Street Journal
2025-10-25,V,V announces new product launch,-0.392,Wall Street Journal
2025-10-24,NFLX,NFLX reports strong quarterly earnings,-0.15,CNBC
2025-10-24,JPM,JPM announces new product launch,0.416,Reuters
2025-10-23,JPM,JPM beats analyst expectations,-0.022,Reuters
2025-10-23,CRM,CRM stock drops on market concerns,-0.292,Bloomberg
2025-10-22,BAC,BAC announces new product launch,-0.47,Financial Times
2025-10-22,TSLA,TSLA stock rallies on positive outlook,-0.063,CNBC
2025-10-22,PG,PG stock drops on market concerns,0.133,Financial Times
2025-10-21,META,META faces regulatory challenges,0.406,Reuters
2025-10-21,ADBE,ADBE reports strong quarterly earnings,0.521,CNBC
2025-10-20,MA,MA beats analyst expectations,-0.031,Reuters
2025-10-20,ADBE,ADBE beats analyst expectations,0.276,Reuters
2025-10-20,WMT,WMT expands into new markets,0.221,Reuters
2025-10-20,ADBE,ADBE reports strong quarterly earnings,0.095,CNBC
2025-10-20,NFLX,NFLX releases innovative technology,0.695,CNBC
2025-10-19,DIS,DIS CEO announces strategic partnership,-1.0,Reuters
2025-10-19,UNH,UNH stock rallies on positive outlook,-0.671,Reuters
2025-10-18,PG,PG stock rallies on positive outlook,-0.031,Bloomberg
2025-10-18,UNH,UNH stock drops on market concerns,0.265,Financial Times
2025-10-18,V,V expands into new markets,0.839,Financial Times
2025-10-18,BAC,BAC stock rallies on positive outlook,0.088,Wall Street Journal
2025-10-18,ADBE,ADBE faces regulatory challenges,0.266,CNBC
2025-10-17,GOOGL,GOOGL faces regulatory challenges,0.092,Wall Street Journal
2025-10-17,JPM,JPM stock rallies on positive outlook,0.451,Financial Times
2025-10-17,CRM,CRM releases innovative technology,-0.186,CNBC
2025-10-16,BAC,BAC CEO announces strategic partnership,0.072,Bloomberg
2025-10-16,BAC,BAC beats analyst expectations,-0.389,CNBC
2025-10-15,JNJ,JNJ faces regulatory challenges,-0.138,Financial Times
2025-10-15,V,Analysts upgrade V rating,-0.331,Reuters
2025-10-15,DIS,DIS beats analyst expectations,-0.138,Reuters
2025-10-15,JPM,JPM releases innovative technology,0.006,Wall Street Journal
2025-10-14,BAC,BAC stock rallies on positive outlook,0.206,Wall Street Journal
2025-10-14,AAPL,AAPL announces new product launch,0.889,CNBC
2025-10-14,JPM,JPM releases innovative technology,0.512,Bloomberg
2025-10-13,ADBE,ADBE CEO announces strategic partnership,0.291,Wall Street Journal
2025-10-13,NFLX,Analysts upgrade NFLX rating,-0.67,CNBC
2025-10-13,UNH,Analysts upgrade UNH rating,-0.289,CNBC
2025-10-13,PG,PG stock rallies on positive outlook,0.128,CNBC
2025-10-12,V,V beats analyst expectations,0.587,Reuters
2025-10-12,TSLA,TSLA CEO announces strategic partnership,0.01,Reuters
2025-10-12,NFLX,NFLX stock drops on market concerns,0.292,Bloomberg
2025-10-12,TSLA,TSLA stock rallies on positive outlook,-0.42,CNBC
2025-10-11,AMZN,AMZN beats analyst expectations,-0.254,CNBC
2025-10-11,JPM,JPM CEO announces strategic partnership,-0.005,Bloomberg
2025-10-11,WMT,WMT reports strong quarterly earnings,-0.712,Financial Times
2025-10-11,NVDA,NVDA faces regulatory challenges,0.341,Reuters
2025-10-10,NFLX,NFLX faces regulatory challenges,0.479,Bloomberg
2025-10-10,BAC,BAC announces new product launch,0.389,Reuters
2025-10-09,BAC,BAC stock rallies on positive outlook,-0.553,Wall Street Journal
2025-10-09,JNJ,JNJ stock drops on market concerns,0.051,Reuters
2025-10-09,V,V stock rallies on positive outlook,-0.242,Reuters
2025-10-09,GOOGL,GOOGL releases innovative technology,-0.158,Wall Street Journal
2025-10-08,ADBE,ADBE reports strong quarterly earnings,-0.977,Bloomberg
2025-10-08,NVDA,NVDA expands into new markets,0.379,CNBC
2025-10-07,JPM,JPM announces new product launch,0.578,Financial Times
2025-10-07,UNH,UNH expands into new markets,-0.889,Financial Times
2025-10-06,DIS,DIS releases innovative technology,-0.362,Wall Street Journal
2025-10-06,HD,HD faces regulatory challenges,0.241,Financial Times
2025-10-06,UNH,UNH faces regulatory challenges,0.046,Financial Times
2025-10-05,CRM,CRM announces new product launch,0.087,Bloomberg
2025-10-05,TSLA,TSLA faces regulatory challenges,-0.121,Reuters
2025-10-04,JPM,JPM stock drops on market concerns,0.337,Financial Times
2025-10-04,GOOGL,GOOGL stock drops on market concerns,-0.409,Reuters
2025-10-04,UNH,UNH stock rallies on positive outlook,0.389,Financial Times
2025-10-03,WMT,WMT reports strong quarterly earnings,0.097,Bloomberg
2025-10-03,WMT,WMT faces regulatory challenges,0.057,Wall Street Journal
2025-10-03,GOOGL,GOOGL beats analyst expectations,0.787,CNBC
2025-10-03,ADBE,ADBE beats analyst expectations,0.129,Wall Street Journal
2025-10-03,AMZN,Analysts upgrade AMZN rating,0.106,Bloomberg
2025-10-02,V,V stock drops on market concerns,-0.098,Reuters
2025-10-02,MSFT,MSFT stock drops on market concerns,-0.06,CNBC
2025-10-02,CRM,CRM expands into new markets,0.717,CNBC
2025-10-01,AMZN,AMZN stock rallies on positive outlook,0.641,CNBC
2025-10-01,MA,MA faces regulatory challenges,0.027,Financial Times
2025-10-01,NFLX,NFLX stock rallies on positive outlook,0.953,Wall Street Journal
2025-10-01,GOOGL,GOOGL expands into new markets,-0.111,Reuters
2025-10-01,UNH,UNH CEO announces strategic partnership,0.307,Financial Times
2025-09-30,AAPL,AAPL announces new product launch,0.254,Bloomberg
2025-09-30,ADBE,ADBE expands into new markets,-0.171,Reuters
2025-09-30,V,V expands into new markets,0.259,Reuters
2025-09-30,META,META stock rallies on positive outlook,-0.204,Financial Times
2025-09-29,V,V stock drops on market concerns,0.608,Financial Times
2025-09-29,UNH,UNH stock rallies on positive outlook,0.206,Reuters
2025-09-29,BAC,BAC CEO announces strategic partnership,0.037,Wall Street Journal
2025-09-29,JNJ,JNJ CEO announces strategic partnership,0.016,Reuters
2025-09-29,META,META CEO announces strategic partnership,0.263,Wall Street Journal
2025-09-28,WMT,WMT releases innovative technology,-0.752,Financial Times
2025-09-28,MSFT,MSFT stock rallies on positive outlook,0.394,Reuters
2025-09-28,JNJ,JNJ faces regulatory challenges,-0.018,CNBC
2025-09-28,AMZN,AMZN releases innovative technology,-0.287,Financial Times
2025-09-28,AAPL,Analysts upgrade AAPL rating,-0.163,Wall Street Journal
2025-09-27,MSFT,MSFT beats analyst expectations,0.231,Financial Times
2025-09-27,PG,PG expands into new markets,-0.176,Wall Street Journal
2025-09-27,HD,HD reports strong quarterly earnings,-0.052,Bloomberg
2025-09-27,V,Analysts upgrade V rating,0.791,Bloomberg
2025-09-27,WMT,WMT stock rallies on positive outlook,-0.242,Wall Street Journal
2025-09-26,AAPL,AAPL expands into new markets,-0.554,Bloomberg
2025-09-26,META,META faces regulatory challenges,-0.066,Financial Times
2025-09-25,NFLX,NFLX releases innovative technology,-0.247,Reuters
2025-09-25,JPM,JPM announces new product launch,0.564,Wall Street Journal
2025-09-24,NVDA,NVDA stock rallies on positive outlook,-0.228,CNBC
2025-09-24,DIS,DIS faces regulatory challenges,-0.386,Wall Street Journal
2025-09-23,BAC,BAC beats analyst expectations,0.49,Wall Street Journal
2025-09-23,NFLX,NFLX stock drops on market concerns,-0.097,Wall Street Journal
2025-09-23,TSLA,TSLA expands into new markets,0.673,Financial Times
2025-09-23,NVDA,NVDA announces new product launch,-0.116,CNBC
2025-09-23,UNH,UNH CEO announces strategic partnership,-0.639,Financial Times
2025-09-22,AAPL,AAPL faces regulatory challenges,-0.378,CNBC
2025-09-22,ADBE,ADBE expands into new markets,-0.926,Wall Street Journal
2025-09-22,NVDA,NVDA stock rallies on positive outlook,-0.989,Financial Times
2025-09-22,BAC,BAC CEO announces strategic partnership,0.094,CNBC
2025-09-21,HD,HD CEO announces strategic partnership,0.367,Bloomberg
2025-09-21,JPM,JPM expands into new markets,0.566,Wall Street Journal
2025-09-21,JPM,JPM releases innovative technology,0.175,Reuters
2025-09-21,JNJ,JNJ stock rallies on positive outlook,0.476,Wall Street Journal
2025-09-21,MA,MA stock drops on market concerns,-0.112,Wall Street Journal
2025-09-20,NVDA,Analysts upgrade NVDA rating,0.3,Financial Times
2025-09-20,JNJ,JNJ announces new product launch,-0.668,Wall Street Journal
2025-09-19,DIS,DIS stock rallies on positive outlook,-0.082,Reuters
2025-09-19,NVDA,NVDA releases innovative technology,0.571,Bloomberg
2025-09-18,BAC,BAC faces regulatory challenges,-0.125,CNBC
2025-09-18,CRM,CRM releases innovative technology,0.011,Reuters
2025-09-17,NFLX,NFLX releases innovative technology,0.595,CNBC
2025-09-17,BAC,Analysts upgrade BAC rating,0.242,Reuters
2025-09-17,CRM,CRM announces new product launch,-0.507,Bloomberg
2025-09-17,WMT,WMT beats analyst expectations,0.516,Reuters
2025-09-16,AMZN,AMZN announces new product launch,0.591,Wall Street Journal
2025-09-16,META,META faces regulatory challenges,-0.299,Reuters
2025-09-16,MSFT,MSFT CEO announces strategic partnership,0.624,Reuters
2025-09-16,WMT,WMT CEO announces strategic partnership,0.188,CNBC
2025-09-16,UNH,UNH stock drops on market concerns,0.131,Bloomberg
2025-09-15,ADBE,ADBE stock drops on market concerns,-0.518,Bloomberg
2025-09-15,META,META announces new product launch,0.461,Financial Times
2025-09-15,MA,MA expands into new markets,0.347,Bloomberg
2025-09-15,BAC,BAC expands into new markets,0.417,Bloomberg
2025-09-15,JPM,JPM stock rallies on positive outlook,0.342,CNBC
2025-09-14,V,V reports strong quarterly earnings,0.173,Wall Street Journal
2025-09-14,WMT,Analysts upgrade WMT rating,-0.127,Bloomberg
2025-09-14,GOOGL,GOOGL stock rallies on positive outlook,0.55,CNBC
2025-09-14,ADBE,ADBE faces regulatory challenges,-0.688,Wall Street Journal
2025-09-14,V,V stock rallies on positive outlook,0.632,CNBC
2025-09-13,MA,MA stock rallies on positive outlook,0.178,Reuters
2025-09-13,JPM,JPM releases innovative technology,-0.377,Financial Times
2025-09-13,PG,PG expands into new markets,-0.205,CNBC
2025-09-12,AAPL,AAPL releases innovative technology,-0.075,CNBC
2025-09-12,AAPL,AAPL expands into new markets,0.69,Reuters
2025-09-12,CRM,CRM stock rallies on positive outlook,0.016,CNBC
2025-09-12,JPM,JPM expands into new markets,0.355,CNBC
2025-09-11,TSLA,TSLA expands into new markets,0.691,CNBC
2025-09-11,NVDA,NVDA announces new product launch,0.299,Reuters
2025-09-11,WMT,WMT stock rallies on positive outlook,-0.126,Reuters
2025-09-10,NVDA,NVDA announces new product launch,0.025,CNBC
2025-09-10,JNJ,JNJ releases innovative technology,-0.306,Bloomberg
2025-09-10,TSLA,TSLA stock drops on market concerns,-0.027,Financial Times
2025-09-10,PG,Analysts upgrade PG rating,-0.391,Financial Times
